productLink,description
https://www2.hm.com/ru_ru/productpage.0970383001.html,"Короткое платье из хлопковой ткани с закрытой резинкой и присборенными оборками сверху, а также очень узкими регулируемыми бретелями. Прямой крой."
https://www2.hm.com/ru_ru/productpage.0953416001.html,Платье длиной до икр из ткани из вискозы LivaEco™ с набивным рисунком. Глубокий треугольный вырез и застежка на обтянутые пуговицы спереди. Асимметричный шов под бюстом. Длинные присборенные рукава с узкой резинкой снизу. Без подкладки.
https://www2.hm.com/ru_ru/productpage.0970261011.html,"Воздушное платье длиной до икры из хлопковой ткани. Бретели с оборками и глубокий вырез спереди, а также сборка и короткая резинка сзади. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0942075001.html,"Платье длиной до икр из вискозной ткани. Воротник и треугольный вырез спереди, а также короткие рукава. Отрезная талия с поясом и потайной резинкой на спине. Расклешенная юбка со скругленным низом подола. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0998905001.html,"Короткое платье из воздушной ткани из смесовой вискозы. Широкий вырез горловины со сборкой, а также рукава длиной три четверти с узкой резинкой снизу. Присборенный шов снизу для дополнительной ширины. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0970383004.html,"Короткое платье из хлопковой ткани с закрытой резинкой и присборенными оборками сверху, а также очень узкими регулируемыми бретелями. Прямой крой."
https://www2.hm.com/ru_ru/productpage.1009482002.html,"Короткий кафтан из вискозы с треугольным вырезом горловины, длинным и широким рукавом, а также съемным поясом на талии. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0970261006.html,"Воздушное платье длиной до икры из хлопковой ткани. Бретели с оборками и глубокий вырез спереди, а также сборка и короткая резинка сзади. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0985777001.html,"Платье длиной до икры из хлопковой ткани с лифом, собранным мелкими буфами. Узкие регулируемые съемные бретели и окантовка оборкой по верху. Без подкладки."
https://www2.hm.com/ru_ru/productpage.1010088002.html,"Длинное широкое платье-кафтан из тканого материала. Треугольный вырез со складкой спереди для дополнительного объема, длинные широкие рукава «летучая мышь» и широкий пояс на талии. Незаметные карманы в боковых швах и разрезы снизу по бокам."
https://www2.hm.com/ru_ru/productpage.0980566008.html,"Платье-кафтан длиной до икры из тканого материала. Глубокий треугольный вырез горловины со складкой спереди для дополнительного объема, короткие рукава и прямой кроя снизу. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0980238006.html,"Короткое облегающее платье из ткани из смеси льна с хлопком. Вырез горловины каре, двухслойные узкие регулируемые бретели, скрещивающиеся на спинке. Потайная молния сбоку. Подкладка из мягкой хлопковой вуали."
https://www2.hm.com/ru_ru/productpage.0965888007.html,Платье из тканого материала без рукавов длиной до икр. Глубокий треугольный вырез спереди и сзади. Свободный силуэт и шов со сборкой снизу для дополнительной ширины. Без подкладки.
https://www2.hm.com/ru_ru/productpage.0993868004.html,"Короткое облегающее платье из смесовой вискозной ткани. Верх в два слоя с глубоким v-образным вырезом, узкими бретелями и глубоким вырезом на спинке с застежкой на потайную молнию. Без подкладки."
https://www2.hm.com/ru_ru/productpage.1003251001.html,"Платье длиной до икр из хлопкового крепа с глубоким вырезом сердечком, оборкой по плечам и открытой спиной на горизонтальных завязках. Шов на сборке под бюстом с узкой резинкой сзади и расклешенная юбка. Подкладка из хлопковой вуали."
https://www2.hm.com/ru_ru/productpage.0984605002.html,"Платье силуэта трапеция длиной до икр из твила, которое можно носить с поясом на талии или без. Воротник стойкой, пуговичная планка, заниженная линия плеч и короткие рукава. Прямой крой снизу с высокими разрезами по бокам. Спинка слегка удлиненная. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0954579004.html,"Короткое платье из тканого материала из смеси льна и хлопка. Треугольный вырез и полочка на запахе. Короткие присборенные рукава с узкой резинкой снизу. Отрезная талия с заложенными складками для дополнительной ширины, а также завязки сбоку. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0980566001.html,"Платье-кафтан длиной до икры из тканого материала. Глубокий треугольный вырез горловины со складкой спереди для дополнительного объема, короткие рукава и прямой кроя снизу. Без подкладки."
https://www2.hm.com/ru_ru/productpage.1000506001.html,"Короткое платье-трапеция из накрахмаленного хлопкового поплина на регулируемых узких бретелях, сверху закрытая резинка с большими оборками. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0988606001.html,Короткое платье из плотного хлопкового твила. Широкий воротник и треугольный вырез спереди. Заниженная линия плеча и короткие рукава. Двухслойная кокетка со смещенным вперед плечевым швом. Кокетка на спинке. По бокам и снизу на рукавах разрезы. Без подкладки.
https://www2.hm.com/ru_ru/productpage.0988624001.html,"Короткое расклешенное платье из воздушной хлопковой ткани с бретелями, которые завязываются на плечах. На подкладке."
https://www2.hm.com/ru_ru/productpage.0965739011.html,"Короткое платье без рукавов из мягкого хлопкового трикотажа. Свободный фасон, круглый вырез горловины, отделанный резинкой, подвернутые края пройм. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0935526003.html,Платье длиной до середины икры из мягкого вискозного трикотажа. Круглый вырез горловины и короткие рукава. Высокие разрезы по бокам.
https://www2.hm.com/ru_ru/productpage.0980061001.html,"Длинное платье без рукавов из атласа с глубоким v-образным вырезом горловины спереди и широкими бретелями, образующими элегантную деталь на спинке. Отрезная талия и потайная молния сзади. На подкладке."
https://www2.hm.com/ru_ru/productpage.0965554005.html,"Длинное платье-трапеция из воздушного хлопкового поплина. Узкие бретели, которые завязываются на спине. Декоративная сборка сверху и присборенный волан с вышивкой ришелье снизу. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0982695001.html,"Короткое платье из хлопкового трикотажа с круглым вырезом горловины и глубокими проймами, а также потайной резинкой на талии."
https://www2.hm.com/ru_ru/productpage.0978329001.html,"Платье длиной до икры из воздушной хлопковой ткани. Бретели с оборками и глубокий вырез спереди, а также сборка и короткая резинка сзади. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0984663001.html,Короткое прямое платье из мягкого хлопкового трикотажа. Свободный фасон со слегка заниженной линией плеча и короткими разрезами по бокам на подоле.
https://www2.hm.com/ru_ru/productpage.0939314010.html,"Короткое платье из шифона с треугольным вырезом. Потайная застежка сверху, а также короткие двухслойные рукава-крылышки. Отрезная модель с закрытой резинкой и съемным поясом на талии. На подкладке."
https://www2.hm.com/ru_ru/productpage.0976046003.html,"Короткое платье из мягкого трикотажа в рубчик с отложным воротником, пуговичной планкой и коротким рукавом. Плавно приталенный фасон с юбкой клеш."
https://www2.hm.com/ru_ru/productpage.0965878011.html,"Платье длиной до икр из креповой ткани. Свободная посадка с узкой резинкой и оборкой сверху, а также узкие регулируемые бретели. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0992437001.html,"Платье-трапеция длиной до икр из накрахмаленного хлопкового поплина на регулируемых узких бретелях, сверху закрытая резинка с большими оборками. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0939819003.html,"Облегающее платье длиной до колена из хлопкового трикотажа в рубчик. Узкий крой сверху, широкие бретели и спинка-борцовка."
https://www2.hm.com/ru_ru/productpage.0988902001.html,"Платье длиной до икр из воздушной ткани из смесового лиоцелла с глубоким v-образным вырезом горловины и складкой спереди. Свободный силуэт с плавно заниженной линией плеча и длинным рукавом с манжетой на обтянутых пуговицах. Скругленный нижний край, спинка немного удлинена. Без подкладки."
https://www2.hm.com/ru_ru/productpage.0904603002.html,"Simone Rocha x H&M. Короткое платье из плотной ткани клоке с добавлением шелка. Лиф прямого кроя, сзади потайная молния и потайная застежка на крючки на шее сзади. Отрезная талия на сборке и сильно расклешенная юбка с объемными передними карманами, а также тремя слоями тюля. Полностью на подкладке из мягкого сатина."
